"ポートフォリオ一覧",
"一括表示",
"PTS株価非表示",
"総件数：10件",
"選択範囲：1-10件",
"ページ：1",
"株式（現物/NISA預り（成長投資枠））",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"8593 三菱ＨＣキャピタル","2025/02/04",50,1036,1060.5,+3.5,+0.33,+1225,+2.36,53025,
"1605 ＩＮＰＥＸ","2025/06/30",100,2003,2025,+35,+1.76,+2200,+1.10,202500,
"株式(現物/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
255525,+3425,+1.36,+3675,+1.46,
"投資信託（金額/NISA預り（成長投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　国内債券インデックス","----/--/--",16520,9080,9123,-7,-0.08,+71.03,+0.47,15071.19,
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国債券インデックス","----/--/--",11070,13551,13854,+12,+0.09,+335.42,+2.24,15336.37,
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",18603,26878,29573,+187,+0.64,+5013.5,+10.03,55014.65,
"ＳＢＩ－ＳＢＩ・Ｊ－ＲＥＩＴ（分配）ファンド（年４回決算型）","----/--/--",105319,9575,10136,-14,-0.14,+5908.39,+5.86,106751.33,
"ＳＢＩ－ＳＢＩ・ｉシェアーズ・ゴールドファンド（為替ヘッジなし）","----/--/--",130316,16115,17340,-18,-0.10,+15963.71,+7.60,225967.94,
"投資信託(金額/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
418141.5,+27292.07,+6.98,-32.42,-0.01,
"投資信託（金額/NISA預り（つみたて投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",259588,26966,29573,+187,+0.64,+67674.59,+9.67,767679.59,
"投資信託(金額/NISA預り(つみたて投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
767679.59,+67674.59,+9.67,+4854.3,+0.64,
"投資信託（金額/旧つみたてNISA預り）",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",352622,17753,29573,+187,+0.64,+416799.2,+66.58,1042809.04,
"三井住友ＴＡＭ－世界経済インデックスファンド","----/--/--",2557,28679,39101,+125,+0.32,+2664.9,+36.34,9998.12,
"投資信託(金額/旧つみたてNISA預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
1052807.16,+419464.1,+66.23,+6625.99,+0.63,
"総合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
2494153.26,+517855.77,+26.20,+15122.87,+0.61
