"ポートフォリオ一覧",
"一括表示",
"PTS株価非表示",
"総件数：10件",
"選択範囲：1-10件",
"ページ：1",
"株式（現物/NISA預り（成長投資枠））",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"8593 三菱ＨＣキャピタル","2025/02/04",50,1036,1071,+10.5,+0.99,+1750,+3.38,53550,
"1605 ＩＮＰＥＸ","2025/06/30",100,2003,1999,-26,-1.28,-400,-0.20,199900,
"株式(現物/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
253450,+1350,+0.54,-2075,-0.81,
"投資信託（金額/NISA預り（成長投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　国内債券インデックス","----/--/--",16520,9080,9118,-5,-0.05,+62.77,+0.42,15062.93,
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国債券インデックス","----/--/--",11070,13551,13862,+8,+0.06,+344.27,+2.30,15345.23,
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",18603,26878,29766,+193,+0.65,+5372.54,+10.74,55373.68,
"ＳＢＩ－ＳＢＩ・Ｊ－ＲＥＩＴ（分配）ファンド（年４回決算型）","----/--/--",105319,9575,10092,-44,-0.43,+5444.99,+5.40,106287.93,
"ＳＢＩ－ＳＢＩ・ｉシェアーズ・ゴールドファンド（為替ヘッジなし）","----/--/--",130316,16115,17094,-246,-1.42,+12757.93,+6.08,222762.17,
"投資信託(金額/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
414831.96,+23982.52,+6.14,-3309.54,-0.79,
"投資信託（金額/NISA預り（つみたて投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",259588,26966,29766,+193,+0.65,+72684.64,+10.38,772689.64,
"投資信託(金額/NISA預り(つみたて投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
772689.64,+72684.64,+10.38,+5010.05,+0.65,
"投資信託（金額/旧つみたてNISA預り）",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",352622,17753,29766,+193,+0.65,+423604.8,+67.67,1049614.64,
"三井住友ＴＡＭ－世界経済インデックスファンド","----/--/--",2557,28679,39230,+129,+0.33,+2697.89,+36.79,10031.11,
"投資信託(金額/旧つみたてNISA預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
1059645.75,+426302.69,+67.31,+6838.59,+0.65,
"総合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
2500617.36,+524319.86,+26.53,+6464.1,+0.26
