"ポートフォリオ一覧",
"一括表示",
"PTS株価非表示",
"総件数：11件",
"選択範囲：1-11件",
"ページ：1",
"株式（現物/NISA預り（成長投資枠））",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"8593 三菱ＨＣキャピタル","2025/02/04",50,1036,1075.5,-8.5,-0.78,+1975,+3.81,53775,
"1605 ＩＮＰＥＸ","2025/06/30",100,2003,2070,-1,-0.05,+6700,+3.34,207000,
"株式(現物/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
260775,+8675,+3.44,-525,-0.20,
"投資信託（金額/NISA預り（成長投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国リートインデックス","----/--/--",5697,14961,15234,+152,+1.01,+155.52,+1.82,8678.8,
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　国内債券インデックス","----/--/--",56206,9101,8989,-9,-0.10,-629.5,-1.23,50523.57,
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国債券インデックス","----/--/--",33269,13752,14022,+44,+0.31,+898.26,+1.96,46649.79,
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",18603,26878,30834,+199,+0.65,+7359.34,+14.72,57360.49,
"ＳＢＩ－ＳＢＩ・Ｊ－ＲＥＩＴ（分配）ファンド（年４回決算型）","----/--/--",105319,9575,10182,-30,-0.29,+6392.86,+6.34,107235.8,
"ＳＢＩ－ＳＢＩ・ｉシェアーズ・ゴールドファンド（為替ヘッジなし）","----/--/--",136074,16168,17832,-1,-0.01,+22642.71,+10.29,242647.15,
"投資信託(金額/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
513095.62,+36819.2,+7.73,+223.03,+0.04,
"投資信託（金額/NISA預り（つみたて投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",259588,26966,30834,+199,+0.65,+100408.63,+14.34,800413.63,
"投資信託(金額/NISA預り(つみたて投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
800413.63,+100408.63,+14.34,+5165.8,+0.65,
"投資信託（金額/旧つみたてNISA預り）",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",352622,17753,30834,+199,+0.65,+461264.83,+73.68,1087274.67,
"三井住友ＴＡＭ－世界経済インデックスファンド","----/--/--",2557,28679,39975,+150,+0.38,+2888.38,+39.39,10221.6,
"投資信託(金額/旧つみたてNISA預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
1097496.28,+464153.22,+73.29,+7055.53,+0.65,
"総合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
2671780.54,+610056.07,+29.59,+11919.36,+0.45
