"ポートフォリオ一覧",
"一括表示",
"PTS株価非表示",
"総件数：10件",
"選択範囲：1-10件",
"ページ：1",
"株式（現物/NISA預り（成長投資枠））",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"8593 三菱ＨＣキャピタル","2025/02/04",50,1036,1085,+4,+0.37,+2450,+4.73,54250,
"1605 ＩＮＰＥＸ","2025/06/30",100,2003,2053.5,+5.5,+0.27,+5050,+2.52,205350,
"株式(現物/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
259600,+7500,+2.98,+750,+0.29,
"投資信託（金額/NISA預り（成長投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　国内債券インデックス","----/--/--",56206,9101,9109,-21,-0.23,+44.96,+0.09,51198.04,
"三菱ＵＦＪ－ｅＭＡＸＩＳ　Ｓｌｉｍ　先進国債券インデックス","----/--/--",11070,13551,13777,-45,-0.33,+250.18,+1.67,15251.13,
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",18603,26878,29781,+118,+0.40,+5400.45,+10.80,55401.59,
"ＳＢＩ－ＳＢＩ・Ｊ－ＲＥＩＴ（分配）ファンド（年４回決算型）","----/--/--",105319,9575,10117,-21,-0.21,+5708.28,+5.66,106551.23,
"ＳＢＩ－ＳＢＩ・ｉシェアーズ・ゴールドファンド（為替ヘッジなし）","----/--/--",130316,16115,17316,-6,-0.03,+15650.95,+7.45,225655.18,
"投資信託(金額/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
454057.19,+27054.83,+6.34,-247.69,-0.05,
"投資信託（金額/NISA預り（つみたて投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",259588,26966,29781,+118,+0.40,+73074.02,+10.44,773079.02,
"投資信託(金額/NISA預り(つみたて投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
773079.02,+73074.02,+10.44,+3063.14,+0.40,
"投資信託（金額/旧つみたてNISA預り）",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ－ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド","----/--/--",352622,17753,29781,+118,+0.40,+424133.74,+67.75,1050143.57,
"三井住友ＴＡＭ－世界経済インデックスファンド","----/--/--",2557,28679,39115,+33,+0.08,+2668.48,+36.39,10001.7,
"投資信託(金額/旧つみたてNISA預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
1060145.28,+426802.22,+67.39,+4169.38,+0.39,
"総合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
2546881.5,+534431.08,+26.56,+7734.82,+0.30
